"product_id","product_name","profit_margin","product_ranking"
265,"Microsoft Surface Laptop 4","94.99996153816568","1"
252,"HP Spectre x360 13 Laptop","94.99996153816568","1"
297,"Microsoft Surface Pro 6","94.99995454504132","2"
187,"Bose Soundbar 700","94.99993749921875","3"
114,"Microsoft Xbox Series X","94.99989999799993","4"
70,"Samsung 43-Inch 4K UHD Monitor","94.99987499687492","5"
253,"Sony WH-1000XM4 Noise Cancelling Headphones","94.99985713877538","6"
196,"Bose QuietComfort 45","94.99984848025696","7"
112,"TP-Link Archer AX73 Wi-Fi 6 Router","94.99978259924346","8"
199,"Jabra Elite 85t Wireless Earbuds","94.99978259924345","9"
160,"Corsair K95 RGB Platinum","94.99974998749937","10"
220,"Fitbit Luxe","94.99966664444295","11"
475,"Ice Cream Maker","94.99961535502732","12"
156,"Fitbit Inspire 3","94.999499949995","13"
244,"Logitech MX Master 3S","94.999499949995","13"
332,"Men's Blazer","94.99944438270919","14"
679,"Activity Center","94.99937492186524","15"
748,"Dog Play Pen","94.99928561223032","16"
620,"Train Set","94.99916652775462","17"
483,"Waffle Maker","94.99874968742186","18"
648,"Child's Scooter","94.99833277759254","19"
665,"Bird Feeder","94.99749874937469","20"
667,"Dog Travel Bowl","94.996664442962","21"
695,"Dog Bandana","94.99499499499503","22"
131,"Microsoft Surface Laptop Studio","93.99996999985","23"
84,"Samsung Galaxy Z Fold 3","93.9999666664815","24"
60,"Samsung Odyssey G9","93.99995384579881","25"
157,"Sony A6400 Mirrorless Camera","93.99993333259259","26"
164,"iPad Mini (6th Gen)","93.99987999759995","27"
308,"Logitech G910 Orion Spectrum Keyboard","93.99966664814711","28"
671,"Pet Litter Mat","93.99739016963906","29"
689,"Exercise Resistance Bands","93.99699849924959","30"
366,"Unisex Beaded Bracelet","93.99599733155435","31"
582,"Bird Toy","93.99399399399402","32"
193,"Canon EOS R6 Mirrorless Camera","92.999971999888","33"
41,"Dell Inspiron 15 3000","92.99992222135802","34"
173,"Microsoft Surface Dock 2","92.99973075887546","35"
